iter	RMSE
0	15.18421232
1	15.08374804
2	14.98673323
3	14.88645295
4	14.79134157
5	14.70430861
6	14.61705851
7	14.53916964
8	14.46438307
9	14.36901908
10	14.27246597
11	14.18807983
12	14.10118545
13	14.01332455
14	13.9222741
15	13.82839552
16	13.73646221
17	13.64574513
18	13.56559004
19	13.47807506
20	13.40086901
21	13.33147318
22	13.24616027
23	13.16088329
24	13.08491511
25	13.01116048
26	12.93242408
27	12.85398712
28	12.77446213
29	12.70134396
30	12.62928484
31	12.54779593
32	12.47275058
33	12.40450388
34	12.32656558
35	12.25581505
36	12.18021197
37	12.11516101
38	12.0412447
39	11.96532617
40	11.89694585
41	11.8290303
42	11.76250748
43	11.70223259
